,imp_sumup,imp_sumup_norm
Phf20,0.18230455,0.057717174
Immt,0.21942174,0.069468394
Psmd7,0.16642006,0.052688185
Mrps21,0.12778103,0.040455166
Zfp292,0.14710271,0.046572365
Vhl,0.18848115,0.05967268
Fyco1,0.15660435,0.04958056
Grcc10,0.23917675,0.075722784
Wdr34,0.033206612,0.010513133
Psmd14,0.18121083,0.057370912
Tmem229a,0.1933013,0.06119872
Fam188a,0.12855637,0.040700637
Acbd7,0.060584106,0.019180782
Plcxd2,0.31514913,0.099775456
Brms1l,0.08432311,0.026696492
Nr2f2,0.50564075,0.16008464
Nacad,0.09471154,0.029985443
Prkg1,0.16321245,0.051672664
Gad1,0.321395,0.10175288
Casp2,0.068440475,0.02166809
Numb,0.08803654,0.027872154
Tjp1,0.25977725,0.08224485
Fbxo38,0.0899517,0.02847849
Zfp354a,0.039312847,0.012446352
Add2,0.16834776,0.053298492
Tbpl1,0.07957004,0.025191683
Fam163b,0.21570043,0.06829024
Iqck,0.0843387,0.026701428
Ppp3cc,0.106019124,0.0335654
Tmem126a,0.106449276,0.033701584
Lig3,0.04649929,0.014721561
Aph1a,0.14145167,0.044783257
E2f4,0.13760078,0.043564074
E030024N20Rik,0.3063493,0.096989445
Rhobtb1,0.03458589,0.010949809
Tbcc,0.09642808,0.030528896
Ano3,0.117072366,0.037064828
Asb3,0.055033162,0.017423365
Zfp772,0.050872218,0.01610602
Arpc1a,0.34607753,0.10956731
Fam211a,0.08994295,0.028475719
Cbx4,0.18027072,0.057073273
Set,0.19490093,0.061705157
Kifap3,0.21051328,0.06664799
Ift52,0.08367622,0.026491687
Brd7,0.115368456,0.036525372
Psip1,0.17888674,0.056635108
Chordc1,0.060080756,0.019021422
Usp39,0.08805926,0.027879348
Tspyl1,0.43590704,0.1380071
Myh14,0.11972553,0.037904814
Taf1,0.14714894,0.046586998
Nolc1,0.13404523,0.042438395
Gon4l,0.10052837,0.031827036
Ablim3,0.16252106,0.051453777
Pam16,0.10895183,0.034493886
Atg2a,0.072006196,0.022796987
Acap3,0.106196634,0.033621598
Fnip1,0.4075835,0.12903996
C330007P06Rik,0.13407762,0.04244865
Usp1,0.09571605,0.030303469
Smurf1,0.09259162,0.029314281
App,0.25930083,0.08209402
Cxx1b,0.2746556,0.0869553
Mmd2,0.29532003,0.093497604
Rpl37a,0.26759487,0.08471989
Dbi,0.30270714,0.09583635
Rae1,0.09400591,0.029762045
Uhrf1bp1l,0.18343441,0.058074888
Grb2,0.3666489,0.11608015
Ube2d3,0.23715852,0.07508381
Fam73b,0.10679395,0.033810705
Zfp148,0.32346547,0.10240839
Pcnx,0.15346442,0.048586465
Dnttip1,0.1066008,0.033749554
Prr24,0.122451775,0.038767934
Anks1b,0.20972794,0.06639936
Rrp1,0.2652792,0.08398676
Tcf25,0.4313934,0.13657813
Nme1,0.22919142,0.07256145
Klhl23,0.15275851,0.048362974
Ppif,0.10257072,0.032473642
BC023829,0.0447317,0.014161947
Met,0.0699455,0.022144575
Tmem178,0.07192032,0.022769798
Pcdhb4,0.032683585,0.010347544
1810041L15Rik,0.11473161,0.03632375
Ttc9b,0.11166028,0.035351373
Unc119b,0.12185899,0.038580265
Vsnl1,0.2950685,0.09341797
Chchd10,0.17745441,0.05618164
Gatad1,0.21622485,0.06845627
Rnf187,0.27296305,0.08641944
Actr3,0.32946643,0.10430828
Col4a2,0.07512916,0.023785708
Snx10,0.1480337,0.04686711
Ndufs6,0.16838986,0.053311817
Adcy2,0.15294474,0.048421934
Myl6,0.2638127,0.083522454
Mt2,0.34302434,0.108600676
Adap1,0.15205276,0.04813953
Nek1,0.07931468,0.025110833
Tdrd3,0.13329124,0.042199686
Snph,0.21383567,0.06769986
Mpc1,0.45635918,0.14448221
Arf2,0.16935684,0.053617965
Rgs4,0.16286701,0.0515633
Psmb1,0.19363451,0.061304215
Cwf19l2,0.07080819,0.0224177
Ptprn,0.195116,0.06177325
Btf3,0.3609503,0.114275984
Tbc1d14,0.09570065,0.030298594
Hsd17b11,0.20647739,0.06537025
Gm13889,0.21852581,0.06918474
Dcbld2,0.12863974,0.04072703
Zfpl1,0.075894974,0.024028163
Hexdc,0.092310674,0.029225336
AI848285,0.25460008,0.080605775
G6pc3,0.08924895,0.028256
Cdk2ap2,0.09408511,0.02978712
Mrps18c,0.09870762,0.031250596
Ubxn6,0.12553996,0.03974565
Map1lc3a,0.24748126,0.07835197
Susd4,0.04697042,0.01487072
Kcnab2,0.15035884,0.047603242
Ppp1r12a,0.07952346,0.025176935
Cep95,0.049756967,0.015752936
Slc39a2,0.061774272,0.019557584
Rnf166,0.15505393,0.049089696
Col24a1,0.10374029,0.032843925
Ddx50,0.18922065,0.059906803
Ppfia1,0.24723032,0.07827252
Sox9,0.17543375,0.0555419
Psmd3,0.19708669,0.062397163
Lrrtm3,0.1193946,0.03780004
Tppp,0.395941,0.12535396
Trim3,0.08302746,0.026286293
Zc3h10,0.07297305,0.02310309
Vps26b,0.23811102,0.07538537
Trove2,0.14382067,0.045533273
Fcho2,0.15157214,0.047987375
Dpp7,0.071603425,0.02266947
Fnbp1l,0.16098805,0.050968423
Ppp2r1a,0.2161603,0.068435825
Matn2,0.07793825,0.02467506
Mmaa,0.061287526,0.019403482
Timm8a1,0.13886793,0.04396525
Mcee,0.08244311,0.026101287
Ppp1r7,0.09554613,0.03024967
Fam65a,0.16965969,0.053713847
Spata2l,0.04494136,0.014228325
Eif4enif1,0.11489565,0.036375683
Rad23b,0.19484761,0.06168828
Pigq,0.16086979,0.050930988
Ap5m1,0.062594116,0.019817146
Sec61a1,0.23920004,0.07573015
Usmg5,0.115105346,0.036442075
Rasip1,0.043870933,0.013889431
D930015E06Rik,0.062591344,0.019816266
Rasd2,0.20634557,0.06532851
Elmo2,0.21114364,0.06684756
Ccser2,0.20658827,0.06540535
Abhd8,0.17228475,0.054544937
Clip3,0.23202193,0.073457584
Yrdc,0.08327909,0.026365958
Nfyc,0.09458962,0.029946845
Mfap2,0.032721944,0.010359688
Jam2,0.24130645,0.07639704
Foxq1,0.021884963,0.006928726
Ccnl2,0.26935205,0.08527621
Gpi1,0.22299126,0.07059849
Plxna2,0.11690864,0.037012994
Cdpf1,0.06640882,0.021024873
Mrpl38,0.098326795,0.031130025
Pik3r1,0.24515454,0.077615336
Zmiz2,0.15413263,0.048798017
Car11,0.1682781,0.05327644
Slc32a1,0.29091638,0.09210342
Aktip,0.18131657,0.057404388
Sdf2,0.104094796,0.03295616
Anapc13,0.15014867,0.047536705
Ctxn1,0.25076848,0.079392694
Cul4b,0.100732565,0.03189168
Kctd10,0.022818336,0.00722423
2700081O15Rik,0.11084247,0.035092458
Yme1l1,0.20598118,0.065213144
Cox7b,0.3288225,0.1041044
Rabep2,0.042474594,0.013447354
Klhl29,0.09328125,0.029532617
Foxn2,0.08560229,0.027101478
Ezh1,0.0896395,0.028379647
Hnrpdl,0.28427988,0.09000232
Gbf1,0.12172758,0.038538657
Son,0.27000174,0.0854819
Ece1,0.09621812,0.030462423
Uba5,0.1481995,0.046919603
Olig1,0.21151464,0.06696502
Znrd1,0.11110396,0.03517524
Trnau1ap,0.06784021,0.021478046
Eif3b,0.17406888,0.055109784
Ptbp1,0.09209063,0.029155668
1810026B05Rik,0.14928928,0.047264624
Tmem130,0.1187798,0.037605397
Napb,0.09971495,0.03156951
Srsf6,0.14336883,0.045390222
Fam20b,0.13826519,0.043774422
Uvrag,0.08814679,0.02790706
D430019H16Rik,0.17413984,0.05513225
Thsd7a,0.14051013,0.044485167
Tardbp,0.19561832,0.06193228
Hspa14,0.08940242,0.028304592
Ube2j2,0.05933623,0.018785708
Arhgef3,0.107825994,0.03413745
Uchl5,0.08091366,0.02561707
Chka,0.15946802,0.05048719
Smim13,0.36511174,0.115593486
Rnf126,0.19742697,0.0625049
Arfip2,0.116657495,0.03693348
B3galt1,0.17785795,0.056309395
Slc16a1,0.1412013,0.04470399
Zfp862,0.054356895,0.01720926
Gpsm2,0.12691702,0.040181622
Sap130,0.09766721,0.0309212
As3mt,0.09055391,0.028669149
Vwa1,0.119076386,0.037699293
Npm3-ps1,0.042185444,0.013355809
Ybx1,0.24504893,0.0775819
Igsf11,0.17458007,0.055271626
Fhdc1,0.06687577,0.021172708
Rusc2,0.08453696,0.026764197
Glrx3,0.17249307,0.05461089
Golga4,0.26149598,0.08278899
Mettl15,0.050017733,0.015835494
Tnrc6c,0.11854189,0.037530076
Esrrg,0.080199435,0.025390947
Nsa2,0.11632109,0.036826976
Hnrnpc,0.2560513,0.08106522
Grm1,0.28873357,0.09141235
Pcp4,0.343622,0.10878989
Fam178a,0.20668858,0.0654371
Tbp,0.1013615,0.032090805
Adss,0.11666894,0.036937106
Dtx3,0.14208804,0.044984728
Slc33a1,0.10738837,0.0339989
Atp2c1,0.3538002,0.11201228
Ago2,0.1033062,0.032706488
Adprm,0.05937508,0.018798009
Rnf38,0.10102909,0.031985566
1700037H04Rik,0.08036319,0.025442792
Samd4b,0.11270954,0.035683565
Rab9,0.121752344,0.0385465
Tmbim6,0.26955226,0.08533959
Prdm2,0.13221225,0.041858077
H2afz,0.36804855,0.11652327
Spns2,0.07454867,0.023601927
Bnip1,0.06472765,0.020492617
Pola1,0.0508781,0.016107883
Kctd2,0.15988286,0.050618526
Zfp266,0.10922422,0.034580123
Tnfrsf21,0.08422873,0.026666611
Serpine3,0.0051803566,0.0016400883
P4hb,0.38449788,0.1217311
Rab24,0.1751795,0.055461403
Exd2,0.114024326,0.036099825
Hs6st2,0.16285774,0.051560365
Pde4a,0.36517367,0.1156131
Tmem9b,0.14767891,0.046754785
Fancg,0.038476788,0.012181657
Emc7,0.2089707,0.06615961
Cog2,0.07335122,0.023222817
Cask,0.33219683,0.10517271
Snx5,0.18162255,0.05750126
Ranbp2,0.20015314,0.06336799
Gramd1a,0.118413106,0.037489302
Slc39a6,0.16557649,0.052421115
Dfna5,0.055033095,0.017423345
Amfr,0.22040625,0.06978009
Cabin1,0.15181601,0.048064582
2410002F23Rik,0.09748941,0.030864911
Tmem165,0.20024683,0.06339766
Sdccag3,0.111035205,0.035153475
Asap1,0.14832447,0.04695917
Ptprf,0.24884133,0.078782566
Smim7,0.16361403,0.051799804
Gnai1,0.30485857,0.09651748
4933411K20Rik,0.087171085,0.027598154
Scoc,0.2672491,0.084610425
Smad4,0.12900753,0.040843472
Synpo,0.09581341,0.030334294
Akap6,0.17894793,0.05665448
D8Ertd738e,0.20556685,0.06508196
Brk1,0.17930202,0.05676659
Ndufb3,0.45922288,0.14538886
Lrrc1,0.07290428,0.023081318
Dnajc3,0.14692338,0.046515588
Rasa1,0.25344756,0.08024088
Nfrkb,0.09316036,0.029494343
Ubald2,0.10785775,0.034147497
Chst12,0.048418783,0.01532927
Stk40,0.0869207,0.027518883
Zswim6,0.10181574,0.032234617
Parp1,0.15385559,0.04871031
Acd,0.07940066,0.025138056
Rpsa,0.40232542,0.12737525
Tpi1,0.2590035,0.081999876
Tomm20,0.1720855,0.05448185
Npc2,0.23129909,0.07322873
Xpot,0.1374456,0.04351494
Th,0.32751915,0.103691764
Gm6548,0.31376463,0.09933712
Pex5,0.11480392,0.03634664
Tmem33,0.33467424,0.10595705
Zmym3,0.12689994,0.040176213
2900097C17Rik,0.5599125,0.17726696
Gapdh,0.34846812,0.11032416
D10Wsu52e,0.1796018,0.056861497
Cdk5,0.13144958,0.04161662
Clcn4-2,0.27352336,0.08659683
Nab1,0.123252034,0.039021295
Ubox5,0.051465243,0.01629377
Arl4d,0.06635986,0.02100937
Cdhr1,0.44226068,0.14001866
Cyb561,0.08517917,0.02696752
Pphln1,0.1274695,0.04035653
Atad1,0.14355156,0.045448076
Depdc5,0.059273314,0.018765789
Vps25,0.12988414,0.041121002
Gucy1b3,0.25777367,0.081610516
Dlg1,0.368842,0.116774485
Cct7,0.18925029,0.059916183
Enpp4,0.120247014,0.03806991
Hey1,0.105987355,0.03355534
Smarcc1,0.19896913,0.06299315
Rab10,0.20917682,0.06622488
Psmc2,0.17799811,0.056353774
Hbegf,0.11250554,0.03561898
Hbs1l,0.12333357,0.03904711
Mpv17l2,0.06810343,0.021561382
Ftx,0.086500086,0.02738572
Exoc3,0.24131775,0.076400615
Ccdc92,0.095300265,0.030171832
Hadh,0.13869189,0.043909512
Tox4,0.09671685,0.030620322
Habp4,0.2570586,0.08138413
Smurf2,0.09713836,0.03075377
Atp5g1,0.14843668,0.046994694
Siah1a,0.10039147,0.031783696
Rpl15,0.2624787,0.083100125
Homer1,0.18164638,0.057508796
Myeov2,0.19953276,0.06317159
Plekhb2,0.3707632,0.11738274
Yes1,0.122092955,0.038654335
Yaf2,0.25398463,0.08041092
Asf1a,0.093494825,0.029600235
Rabepk,0.058277566,0.018450536
Map3k1,0.15272234,0.048351526
Nudt14,0.03988701,0.012628132
Fgd4,0.11780344,0.037296288
Khdrbs1,0.20049243,0.063475415
Frrs1l,0.47682846,0.15096274
Bptf,0.15843807,0.050161112
Ddx19b,0.08166316,0.025854358
Kctd3,0.22964561,0.07270524
Dnmt1,0.13156897,0.04165441
Spag9,0.3408903,0.107925035
Lrrk1,0.056086246,0.01775677
Afap1,0.10984824,0.034777682
Cdc42se2,0.18653117,0.059055313
Gps2,0.10868222,0.03440853
Klhl9,0.1482516,0.046936095
Etfb,0.15809256,0.05005172
Foxg1,0.1986771,0.06290069
Nol11,0.08209925,0.025992423
Il18,0.10298704,0.03260545
Ndfip1,0.092242874,0.029203871
Ergic3,0.1059732,0.03355086
D10Bwg1379e,0.06871578,0.02175525
Atp13a2,0.11109996,0.035173975
Slirp,0.1522358,0.048197486
Lca5,0.06490831,0.020549815
Nprl2,0.06818227,0.02158634
Hdac9,0.23040037,0.072944194
Bub3,0.12683985,0.040157184
Ngrn,0.13623734,0.043132413
Dpysl2,0.47166762,0.14932883
E130309D14Rik,0.08326544,0.026361635
Ttc39b,0.104837194,0.0331912
Pik3c2a,0.10500317,0.03324375
Gtpbp2,0.061420802,0.019445676
Sub1,0.36896962,0.11681489
Dpy19l1,0.1469578,0.04652648
Snrpd3,0.10278581,0.032541737
2610002M06Rik,0.12286325,0.038898207
Jph3,0.110585906,0.03501123
Syn2,0.29797545,0.094338305
2010300C02Rik,0.18718646,0.05926278
Rps24,0.31308815,0.09912295
Suv420h2,0.06751826,0.021376116
9530068E07Rik,0.19489978,0.0617048
Hnrnpk,0.3258438,0.10316136
Dpf1,0.1277084,0.040432174
Ednrb,0.47999123,0.15196407
Islr2,0.05068061,0.016045358
Prmt8,0.07565795,0.023953121
Elovl5,0.23370227,0.07398957
Rhob,0.18769,0.0594222
Xpr1,0.3254934,0.10305041
Gabrb3,0.23103967,0.073146604
Tex2,0.14628337,0.04631296
Hopx,0.115256004,0.03648977
Zbtb4,0.15659292,0.04957694
Oxld1,0.064420134,0.020395258
Klf9,0.23652288,0.07488257
Fry,0.1793485,0.056781296
Gng4,0.23735228,0.075145155
Atp6v1b2,0.24824311,0.07859317
Aagab,0.107661255,0.034085292
Tuba4a,0.14349909,0.045431465
Pdzd8,0.12917669,0.040897027
Ddah2,0.103618525,0.032805376
Abi1,0.3727243,0.11800361
Prkacb,0.24769986,0.078421175
Hba-a2,0.35844454,0.11348268
Skp1a,0.29515678,0.09344593
Ept1,0.116969414,0.037032235
Smc6,0.19150503,0.060630023
Arhgap33,0.14202148,0.044963658
Srrm2,0.2841618,0.08996494
Cxxc5,0.3065961,0.09706758
Plp1,0.49900782,0.15798466
Meis2,0.31232497,0.09888133
Elp2,0.11074356,0.035061143
Lamtor1,0.16797617,0.053180847
Rpl7a,0.1839732,0.058245465
Uqcrh,0.2416642,0.0765103
Azi2,0.15147062,0.04795523
Mrpl12,0.14246145,0.045102946
Gnao1,0.26807746,0.08487267
Ints3,0.12316264,0.038992997
Rap1gap2,0.15448382,0.048909202
Plscr4,0.07705824,0.024396453
Sfpq,0.1956732,0.061949663
Mrps36,0.119383365,0.037796486
Rheb,0.26277757,0.08319474
Cul7,0.07517232,0.023799375
Ppp2r5d,0.087275945,0.027631352
Ing4,0.10718306,0.0339339
Pygb,0.1903294,0.060257826
Sft2d1,0.09137828,0.028930143
Aplp1,0.20459165,0.06477322
Cdc5l,0.13813177,0.043732185
Hpca,0.090332896,0.028599175
Phldb2,0.14223301,0.045030624
Pitpnm2,0.33172262,0.10502258
Ggct,0.0376199,0.011910369
Myl9,0.09038098,0.028614398
Nop10,0.1461492,0.046270486
Eid2,0.12411998,0.039296087
Fxr2,0.21715808,0.068751715
Ap3s2,0.13483231,0.042687584
Ranbp3,0.17996682,0.056977056
Rps15,0.46912426,0.1485236
Fam184a,0.23570305,0.07462301
Wdr5,0.0959902,0.030390263
Kbtbd4,0.08182402,0.025905285
Rpl10a,0.19688134,0.062332153
Dbn1,0.2366935,0.07493658
G3bp2,0.2513837,0.07958747
Rfxap,0.0687754,0.021774126
Hist1h1c,0.1770127,0.056041792
Rfx7,0.25818896,0.081742
Usp22,0.29810455,0.09437917
Tmem135,0.16014826,0.05070255
Wasl,0.30210134,0.09564455
Fbxw2,0.16312565,0.051645182
Map1a,0.41539624,0.13151345
Chmp4b,0.23128054,0.07322286
Lrrc9,0.037945993,0.0120136095
H2-DMa,0.03413907,0.010808347
Zfp35,0.045600813,0.014437107
Oat,0.27543753,0.087202854
Pum2,0.2627227,0.08317737
Lrrc40,0.14518416,0.045964953
Grin1,0.20097893,0.06362944
Psma6,0.17894699,0.056654185
Eif4g3,0.21156806,0.066981934
Pld3,0.16155994,0.051149487
Dclk1,0.37195978,0.11776156
Plekhj1,0.09836225,0.031141251
Mark1,0.16325085,0.051684823
Med8,0.037966806,0.012020199
Atpif1,0.22566117,0.07144378
Wdyhv1,0.066840515,0.021161547
Fam207a,0.10090789,0.031947196
Reep2,0.13128415,0.04156424
Mast3,0.1258314,0.039837915
Magee1,0.22073536,0.06988428
Snca,0.2262293,0.071623646
Impa2,0.036154415,0.011446401
Mrpl32,0.09487018,0.030035667
Usp46,0.14741564,0.046671435
Lin7c,0.30601522,0.09688368
Myg1,0.06498431,0.020573875
BC029214,0.08394547,0.026576933
Rnmt,0.14496212,0.045894656
4932438A13Rik,0.2964815,0.09386533
Dmrtc1a,0.03569191,0.011299972
Paxbp1,0.19899619,0.06300171
Cyth1,0.14141504,0.04477166
Ccndbp1,0.11284492,0.035726428
Copb2,0.20747311,0.06568549
Smg6,0.082096376,0.025991512
Med19,0.054772872,0.017340958
Ilf2,0.11135166,0.035253666
6820431F20Rik,0.14645405,0.046366997
Magi2,0.13093434,0.041453496
Arrb1,0.21684101,0.06865134
Smyd2,0.15206394,0.048143078
Ube2b,0.20867628,0.0660664
H2-Ke2,0.1539217,0.048731234
Ddx41,0.06664745,0.02110042
Rrm2b,0.101585954,0.03216187
Acadvl,0.110470474,0.034974683
Rab18,0.1756541,0.055611663
Zfp287,0.053512342,0.016941879
Usp10,0.1246435,0.03946183
Slc3a2,0.18932836,0.0599409
Pnpla8,0.19798686,0.06268216
Ints5,0.07254952,0.022969004
Usf2,0.1811379,0.057347823
Mrpl28,0.14878486,0.04710493
Pak2,0.1355725,0.042921923
Acot13,0.13659419,0.04324539
Park7,0.2453951,0.07769149
Fxyd1,0.09181711,0.029069075
Hsp90aa1,0.38613555,0.12224958
Phb2,0.18208072,0.057646308
Wdr44,0.08831889,0.027961547
Copb1,0.119991474,0.03798901
Ankrd27,0.07078832,0.02241141
Rars,0.16865635,0.05339619
Rbfox1,0.18244469,0.05776155
Zfp703,0.11211232,0.035494488
Mta1,0.21746461,0.068848774
Hdac11,0.22252321,0.07045031
Nfic,0.21300034,0.06743539
Hist2h2be,0.08579834,0.027163545
Ufsp2,0.08290296,0.026246877
Trappc11,0.14464006,0.04579269
Cep250,0.07641281,0.02419211
Sdha,0.34124526,0.10803742
Ufd1l,0.18268663,0.057838142
Ndufc1,0.21625143,0.06846468
Tra2a,0.20588079,0.06518136
Col9a2,0.087939836,0.027841538
Hsbp1,0.21903728,0.069346674
Marc2,0.12504044,0.039587498
Casp6,0.06483454,0.02052646
Top1,0.17878985,0.056604434
Caap1,0.0764749,0.024211768
Tle3,0.12188754,0.0385893
Ankrd45,0.10893308,0.034487948
Glcci1,0.1988294,0.0629489
Pcdhga7,0.014920493,0.004723792
Dlx2,0.14612618,0.046263196
Oscp1,0.04717329,0.014934949
Chd2,0.11598823,0.036721595
Vipr2,0.1163555,0.03683787
Kcnj12,0.06998389,0.02215673
Sobp,0.15524417,0.049149927
Rpp25,0.1161546,0.036774267
Riok2,0.08743787,0.027682617
Crtc1,0.109219596,0.03457866
Slc12a6,0.1268733,0.04016778
Glrb,0.24453744,0.07741996
Lrrtm2,0.107943475,0.034174647
Baz2b,0.17276387,0.054696623
Map6d1,0.070626244,0.022360098
Mbd1,0.07735027,0.024488907
Sf3b5,0.16215715,0.05133856
Zfr2,0.084213465,0.02666178
Slitrk3,0.041299686,0.013075381
Fjx1,0.13952379,0.044172894
Celf5,0.37592098,0.11901567
Ythdf1,0.13345903,0.042252805
2610035D17Rik,0.053086314,0.016806997
Hnrnpr,0.19655204,0.062227897
Fntb,0.063136585,0.01998889
Dennd4b,0.10454768,0.033099543
Fbln5,0.03904183,0.012360549
Ltn1,0.16764067,0.053074628
Brca2,0.04509221,0.0142760845
Sra1,0.08231978,0.026062243
Ina,0.06860402,0.02171987
Zfp64,0.06291333,0.019918209
Tspan14,0.061554402,0.019487973
Marcks,0.590243,0.1868695
Vamp4,0.16053112,0.05082376
Akt2,0.13244247,0.041930966
Tpm1,0.2103598,0.0665994
Nrf1,0.05304958,0.016795367
Dapk3,0.048791096,0.015447143
Tmem123,0.076904915,0.02434791
Trio,0.4006186,0.12683488
Mcu,0.0959071,0.030363955
Ube2q2,0.10867923,0.03440758
Fam189b,0.061644122,0.019516379
Maea,0.119853154,0.03794522
Snx7,0.08294642,0.026260635
H2afj,0.12795278,0.04050954
Gabra4,0.14460431,0.045781374
Prpf31,0.06467502,0.020475954
Ubl5,0.14573255,0.046138573
Ppp2r2b,0.15821329,0.050089944
Dhcr24,0.12348722,0.039095756
Ascc3,0.080482,0.025480404
Cnnm2,0.05585361,0.017683117
Ehmt1,0.096279085,0.030481726
Hnrnpa2b1,0.42347133,0.13407
Zfp414,0.089915164,0.028466921
Strip2,0.083906315,0.026564537
Vti1b,0.24637733,0.07800246
Slc4a4,0.3926192,0.12430228
Zfp428,0.07972601,0.025241062
Cntn3,0.056163445,0.017781211
Lias,0.100356534,0.031772632
Nfatc3,0.090414785,0.028625103
Ap3m2,0.14446686,0.045737855
Eif2b5,0.06677689,0.0211414
Cacna2d1,0.19743517,0.062507495
Rtn1,0.27826774,0.0880989
Rcan3,0.10652045,0.033724114
Ppm1g,0.1370015,0.04337434
Sypl,0.14456677,0.045769487
Snx19,0.10594337,0.033541415
Sema6a,0.14157619,0.044822678
Pla2g7,0.34491795,0.10920019
Fbxo7,0.09829996,0.03112153
Rspry1,0.09695766,0.03069656
Zeb2,0.3061719,0.096933275
Ssr2,0.18066907,0.05719939
Aurkaip1,0.1587915,0.050273005
Tef,0.21377437,0.06768045
Stard3nl,0.09519599,0.030138817
Tpr,0.16853139,0.05335663
Trappc6b,0.15075816,0.04772967
Fabp5,0.15917465,0.050394308
Dnajc30,0.07990791,0.02529865
Msh3,0.07088985,0.022443555
Zfp280c,0.083212934,0.026345013
Pkm,0.2745825,0.08693215
Dock9,0.20357601,0.06445167
Dapk1,0.09864947,0.031232182
Gabpb2,0.042899888,0.0135820005
Dusp26,0.102758735,0.03253317
Erp29,0.15865952,0.05023122
Cic,0.13638486,0.043179117
Ash2l,0.09565452,0.030283988
Cldn11,0.22100985,0.06997118
Uba1,0.3520913,0.11147126
Slc15a4,0.061647255,0.019517373
Rpl22,0.30967698,0.09804298
Midn,0.39897728,0.12631524
Mtf1,0.10980953,0.03476543
Nmd3,0.11012054,0.034863897
Hsp90ab1,0.28811255,0.09121574
Fam168b,0.26174888,0.08286906
Tapbp,0.100701466,0.03188184
Mfsd5,0.07388665,0.023392335
Klhdc8b,0.024512118,0.0077604773
Fam131b,0.20876266,0.06609376
Ccdc149,0.116449334,0.036867574
Tmpo,0.1795689,0.056851078
Pfdn1,0.14129685,0.04473424
Map4,0.23443307,0.07422094
Trappc1,0.17366011,0.05498037
Dstyk,0.15330558,0.048536174
Rnpc3,0.12179314,0.038559414
Gpr137b,0.097183764,0.030768143
Stx6,0.11631988,0.03682659
Fos,0.14153598,0.04480995
Smarcd3,0.28610453,0.090579994
B230219D22Rik,0.1994515,0.06314586
9130401M01Rik,0.079986274,0.025323462
Polr2g,0.26974055,0.0853992
Cacng3,0.09717258,0.0307646
Lclat1,0.08362317,0.026474895
Puf60,0.2732253,0.08650247
E330033B04Rik,0.07570312,0.023967424
Wasf1,0.20143086,0.063772514
Pmf1,0.039430287,0.0124835335
Clip4,0.15393502,0.04873545
Ntrk2,0.26877975,0.08509502
Pcdhb20,0.05079427,0.016081342
Fbrsl1,0.12116201,0.038359597
Ccdc88c,0.02273541,0.007197975
Zdhhc7,0.07819334,0.02475582
Asxl1,0.108820386,0.03445227
Abhd17a,0.25862885,0.08188127
Atp6v1h,0.24262525,0.07681456
Nelfb,0.21271668,0.06734559
Exosc6,0.07526551,0.023828877
Rpl5,0.1827391,0.057854753
Mrps10,0.060058385,0.01901434
Rplp1,0.45977685,0.14556423
Ank1,0.14068441,0.044540346
Acsbg1,0.23398346,0.07407859
Pomp,0.20592675,0.06519591
Mrpl20,0.18797377,0.05951204
Klhl20,0.051835448,0.016410977
Scaper,0.110000625,0.034825932
Ctage5,0.15373407,0.048671834
Ube2e2,0.13574691,0.042977143
Pisd-ps1,0.46891943,0.14845875
Atg4b,0.1024276,0.03242833
Tbc1d9b,0.2053191,0.06500354
Wdr35,0.09192911,0.02910453
Gpr180,0.072825864,0.02305649
Ssbp4,0.3006346,0.09518018
Hint1,0.2731896,0.08649116
Dph5,0.035390977,0.011204697
D15Ertd621e,0.14883846,0.047121897
Pcdh7,0.16025317,0.050735764
Slc35f6,0.06633614,0.02100186
Zfp46,0.06948735,0.021999525
Zranb2,0.24428858,0.07734118
Sun1,0.16093166,0.050950576
Add3,0.37462378,0.11860499
Lrch1,0.06961855,0.022041066
Smarce1,0.2152475,0.06814684
Stmn4,0.25258222,0.07996692
Gm5124,0.0628346,0.019893281
Ltbp1,0.051088173,0.016174393
Fahd1,0.07603105,0.024071245
Ndn,0.24237719,0.07673603
Ppp3cb,0.26711658,0.084568456
Sfi1,0.1081692,0.034246106
Cacfd1,0.10853147,0.034360796
Cstf2,0.16327855,0.051693596
Rnf44,0.5629681,0.17823434
Stox2,0.21133566,0.06690835
Gtf2a2,0.13553177,0.04290903
Smim14,0.14770475,0.046762966
Aph1b,0.08508138,0.026936559
Zfp131,0.11778014,0.037288904
Rpusd1,0.06627213,0.020981595
Ltbp4,0.075511314,0.0239067
BC017158,0.04668781,0.014781248
Unc80,0.3030215,0.095935866
Pcm1,0.31690097,0.10033008
Sclt1,0.07198821,0.022791293
Ggnbp2,0.16556564,0.052417684
Ano2,0.020958545,0.0066354247
Endod1,0.120504096,0.038151305
Rnps1,0.17596422,0.055709846
Gls,0.28055802,0.08882399
Irf2bp1,0.09995848,0.031646613
Uqcrc1,0.2718231,0.086058535
Mlf2,0.30062878,0.095178336
Nedd8,0.17879705,0.05660671
Paip2b,0.11043675,0.034964006
Atl1,0.114407144,0.036221024
Gatsl2,0.046389926,0.014686937
Yeats2,0.083439946,0.026416885
Slc38a9,0.07555349,0.023920052
Nefh,0.110960424,0.0351298
Creg1,0.10930076,0.034604356
Pbx1,0.2723784,0.086234346
AI837181,0.080887556,0.025608804
Taf2,0.11419714,0.03615454
Pax6,0.13983776,0.044272296
Sema3e,0.10109254,0.032005653
